id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
2091366,2021-05-27,Новостройка,12 / 19,80 м²,2,есть,122 000AZN,собственник,"Təcili satılır, tam və ya qismən əşyalarla birlikdə. Şəxsi evimdir, mənzildə hal hazırda yaşayış var. 
2 otaqlı kupçalı mənzildi. Həzi Aslanov m. yaxınlığında Akkord MTK-nın tikdiyi kompleksdə, 12-ci mərtəbədə yerləşir (19 mərtəbəli bina). Ümumi sahəsi 80 kv.m (kupçada 74 kv.m). 
Geniş həyəti, uşaq meydançası, qarajı, supermarketləri, uşaq bağçası və s. var. Hər bir şəraiti var. Suyu daimidir. Qaz, işıq, telefon nömrəsi, Ailə TV və internet (Ailə tv) mövcuddur. İki ədəd icarə qaraj yeri var. İstilik sistemi kombidir. 
Mənzil zövqlə dizayn olunub. Dənizə mənzərəsi var.
Mətbəx mebeli - Palitra
Mətbəx texnikası - Siemens
Kombi - Baxi (İtaliya istehsalı, yeni alınıb)
Döşəmə - parket
Tv stendi - Zebrano
Santexnika - İspaniya və Almaniya
Ağ rəngdə seyf qapı - Zeki doors
Kondisioner - LG

Qiymətdə razılaşmaq olar. 
Ətraflı məlumat üçün zəng edin. ",161,"м. Ази Асланов
"," Хатаинский р.
"," пос. Ази Асланова
",,,,,,,
2121713,2021-05-27,Вторичка,3 / 5,65 м²,2,есть,115 000AZN,посредник (агент),"Nesimi rayonu Rusiya sefirliyin qarshisinda , Abbasqulu Agha Bakixanov kucesinde yerlshen 5 mertebeli dash binanin 3 cu mertbesinde 2 otaqli menzil satilir.
Umumi sahesi 65 kv olan 2 otaqli menzildir , 1 qonaq otaqi ,1 yataq otaqi , 2 balkon 1ri eve qatilib , 1-ri aciq , Hamam-tualet razdelni , Otaqlar razdelni,
Qaz , Su , ishiq ve Mərkəzi istilik sistemi var
Ofis xidmet haqqi 1 % teshkil edir.",26," Парк М. Гусеинзаде
","  Парк Севиль Газиевой
","  Парк Измир
"," м. Низами
"," Насиминский  р.
",,,,,
2121711,2021-05-27,Новостройка,16 / 18,69 м²,3,есть,80 000AZN,посредник (агент),"Tecili deyerinden awagi Qarayev metrosuna yaxin Planet s.s ,Bona Dea Hospitalin yani 18mertebeli binanin 16ci mertebesi,menzil 3 otaga duzeldilmiw menzil satilir   Umumi Sahesi 64 kv !  
Yaxin guNlerde Kupca verilecek 80 % TEMIR IWINI GORULUB ! elave melumat ucun elaqe saxlayin Ofis xidmet haqqi 1 %
",10,"м. Кара Караев
"," Низаминский  р.
",,,,,,,,
2027334,2021-05-27,Новостройка,16 / 19,57 м²,2,есть,100 000AZN,посредник (агент),"IPOTEKAYA YARARLI!!!

QALI+KUPCALI MENZIL!!!

Insaatcilar metrosuna ve 20 yanvar metrosuna yaxin Topcubasov Xestexanasinin yaninda umumi sahesi 57 kv/m 1den 2 ye duzelmis ela temirli menzil teklif olunur. Menzilin cox gozel ponaramasi var. Sened:KUPCA.
Binada qaz,su isiq daimidir. Elave suallar ucun zeng edin",27,"м. Иншаатчылар
"," Ясамальский р.
",,,,,,,,
2121707,2021-05-27,Новостройка,17 / 18,140 м²,4,есть,178 000AZN,собственник,"REAL ALICIYA ENDİRİM OLACAQ!
DUPLEKSƏ çevirmək imkanı olan
(şəhər şəraitində MİNİ-VİLLA)
3+1 otaqli (120+20 kv.m), 2 fərqli, gözoxşayan dizaynli böyük hamamlı, 1 balkonlu, gözəl təmirli, füsünkar mənzərəli MƏNZIL satılır. KUPÇASI var (ipotekaya salmaq olur). Həzi Aslanov metrosu yanında (piyada 3 dəqiqə)!
Çardağda əlavə otaq mənzili DUPLEKSƏ çevirmək imkanı yaradır! Qonşular öz mənzillərin edib, çox gözəl alınıb.
Mətbəx mebeli, 2 KONDISIONER, koridordaki 3 lyustra qiymətə daxildir. Lazım olsa, şkaf-kupe və divan-kresloları münasib qiymətə saxlamaq olar.
Binada qaz, mərkəzi istilik sistemi, blokda 2 ALMAN sürətli lift, komendant, 24-saat təhlükəsizlik sistemi.Əlavə olaraq, KOMBI də çəkmişik. Həyəti çox böyük və baxımlı olan bina!
🔸OTAQ: 3+1
🔸DUPLEKSə çevirmə imkanı
🔸SAHƏ: 120+20 kv m
🔸MƏRTƏBƏ: 17 və 18
🔸HəziAslanov metrosu
🔸YENİ TİKİLİ
🔸Çıxarış (kupça)

Axırıncı mərtəbənin üstünlükləri:

👍🏻 su axıdan, zibil tökən yox;
👍🏻 başının üstündə səs-küy salan yox;
👍🏻 küçənin səsindən, tozundan uzaq;
👍🏻 sanki bina evində deyil şəxsi həyət evində yaşadığını hiss edirsən!

МИНИ-ВИЛЛА в городских условиях!
В Баку, всего за 178 тыс. манат продаётся квартира с обворожительной панорамой и видом на море, с возможностью переделки в ДУПЛЕКС! 3+1 комнат, 2 просторные ванные комнаты в разных стилях, большая кухня, красивый ремонт, 1 балкон, центр. отопительная система + КОМБИ. В общем, все условия для проживания и со всеми удобствами!

🔸КОМНАТ: 3+1
🔸Возможность переделки в ДУПЛЕКС
🔸ПЛОЩАДЬ: 140 кв.м (120+20)
🔸ЭТАЖИ: 17 и 18
🔸2 просторные ванные комнаты в разных стилях (с душевой в каждой)
🔸2 скоростных НЕМЕЦКИХ лифта
🔸м. Ази Асланова (в 3х мин. ходьбы)
🔸 евроремонт
🔸центр. отопление + КОМБИ
🔸НОВОСТРОЙКА
🔸КУПЧАЯ
🔸ЦЕНА: 178 тыс. ман.

Реальному покупателю будет предложена скидка!!! Преимущества последнего этажа:
👍🏻 никто не заливает, не сорит;
👍🏻 не стучат и не шумят над головой;
👍🏻 далеки от уличного шума-гама и пыли;
👍🏻 ощущение, что живёшь не в здании, а в частном доме!

FURTHER DISCOUNT WILL BE OFFERED DIRECTLY TO THE REAL BUYER!
A very spacious 4-rooms apartment with stunning PANORAMIC SEA VIEW for sale in BAKU, Azerbaijan! An additional room in the garret gives you an opportunity to modify it to a DUPLEX apartment (a MINI-VILLA in an urban environment!) .
Let me know if you have any questions on WhatsApp +994518889300
🔸3+1 rooms (with 1 additional room in the garret it can be modified to DUPLEX)
🔹2 big bathrooms, a spacious kitchen & a balcony
🔹STUNNING SEA VIEW
🔸area: 120+20 sq. m
🔹floors: 17 and 18
🔸TITLE DEED
🔹price: AZN 178,000
🔸BAKU, Azerbaijan
🔸next to H.Aslanov metro st. (@4-min. walking distance)
🔹3 parking floors in the basement
🔸clean and well maintained bldg with a huge yard & playground, the best in the area
🔹2 speedy elevators
🔸great infrastructure around
🔹24/7 security

Advantages of living on the last floor:
👍🏻 no chances to be flooded or trashed/messed by the upstairs neighbors;
👍🏻 no noisy upstairs neighbors;
👍🏻 you are far from the street noise and dust;
👍🏻 a feeling that you live in a private house rather than in an apartment in a multi-storey building!",10,"м. Ази Асланов
"," Хатаинский р.
"," пос. Ази Асланова
",,,,,,,
2121704,2021-05-27,Новостройка,11 / 16,114 м²,3,нет,165 000AZN,собственник,"Genclik metrosuna ayagnan 7 degigelik mesafede, Grand Narimanov yashayish kompleksinde tek bloklu binada ,3 otag ,sahesi 114 kv.m menzil satilir. 2 sanitar qovshagi, , genish dehliz , 1 balkon, 1 qonag otagi,1 metbex ve 2 yatag otagindan ibaretdir. 
Bina teze tehvil verilib , cemi 5 aile yashayir , temirlere icaze var, liftler ishleyir. Temirler bitende qaz ve cixarish verilecek ( kompleksin 3 bloklu binasinda qaz ve cixarish var ). Menzilin qaz , su ve ishiq saygaclarin rusumu odenilib. 
Bir mertebede cemi 6 qonshu , boyuk dehliz ,genish yeralti qaraj binanin ve mehellenin altinda , iki suretli lift , muhafize , komunal cemi 0.5 gepik kv m. 
Menzilde gozel panorama acilir. Binanin onunde daha bina tikilmiyecek, bina ozu yashillig ve parklarin etrafinda tikilib. Binaynan duz uzbeuz mekteb ve bir çox dovlet idareleri var. Sakit ve ekoloji temiz yer. ",70," Азербайджанский Университет Туризма
","  Министерство Образования
"," м. Гянджлик
"," Наримановский  р.
",,,,,,
2121703,2021-05-27,Новостройка,6 / 12,80 м²,2,нет,128 000AZN,посредник (агент),"Продаю двухкомнатную квартиру,метро низами 6/12,80 кв, фасад здания облицован аглаем, можно приступать к ремонту.",1049,"м. Низами
","  Парк Офицеров
"," Ясамальский р.
",,,,,,,
2121700,2021-05-27,Новостройка,11 / 17,85 м²,3,есть,135 000AZN,посредник (агент),"TECILI OLARAQ DEYERINDEN ASAQI QIYMETE SATILIR !! 

DUSME TEKLIF !!

• Unvan: Yasamal, A.Şərifzadə küçəsi, “İnşaatçılar” metrosunun cixişı, “Bizim market” və ""Məhsul"" stadionunun qarşısı, yaxınlıqda 13 və 167 saylı məktəblər, binanın 1-ci mərtəbəsi NMED klinika və univermaqdır.
• Sahəsi: 85m2
• Mərtəbəsi: 11, bina 17 mərtəbəlidir.
• Otaqların sayı: 3 (2-dən düzəltmə)
• Sənəd: Kupça - Çıxarış 10 ildir alınıb, əldədir.
• Döşəməsi: parket
• İstilik sistemi: kombi

ALICI TEREFDEN 1 % SIRKET HAQQI ODENILMELIDIR !!

elave melumat ucun qeyd olunan nomre ile elaqe saxliya bilersiniz !!",28,"м. Иншаатчылар
"," Ясамальский р.
"," пос. Ясамал
",,,,,,,
2121699,2021-05-27,Новостройка,6 / 15,58 м²,2,есть,133 000AZN,посредник (агент),"Bakının Gözəl Məkanında,Koala Parkın Yaxınlığında,Yaxşı Təmir olunmuş, ""AZADLİQ""
""RESİDENCE"" 1-otaq 2-otaqa düzəlmiş qazlı kupçalı mənzil satılır,Binanın yaxınlığında,Brend Mağazalar,Super Market,Restoranı,Məktəb,Uşağ Bağçası...

В красивом месте в Баку, рядом с Коала парк, с ремонтом, «СВОБОДА»
""РЕЗИДЕНЦИЯ"" Продается 1-комнатная квартира переделанный в 2-х комнатную квартиру в здани есть газ, купца ,рядом с домом, фирменные магазины, супермаркет, рестораны, школа, детский сад .Т/Д...",11," Коала парк
","  Кинотеатр Дружба
","  Насиминский Базар
","  Парк Зорге
"," Насиминский  р.
",,,,,
2121698,2021-05-27,Вторичка,5 / 19,114 м²,2,есть,210 000AZN,посредник (агент),"QAZ KUPCA VAR
Yasamal rayonu, Nizami metro yaxinliq, Tbilis pr yerləşən Avropa otelinin qarshisinda
YENI TIKILI 19mertebeli binanin 5 ci mertebesinde 2 otaqli yaxshi təmirli mənzil satılır.
Ümumi sahəsi 114 kv.m. Mənzilın çox qözəl planirovkası, 1 qonaq otaqi ve 1 yataq otaqi, 2 sanitar qovshaqieyvan, quraşdırılmış mətbəx mebeli və bütün şəraiti var. Merkezi istilik sistemi , QAZ, İŞIQ, SU ( SOYUQ VƏ İSTİ) DAİMİDİR!!!!!!!!!!!!! Sakit həyət, uşaq meydançası. Binanın yaxınlığında kafe, restoranlar, marketlar, əyləncə mərkəzləri, məktəb, uşaq bağçası. Panorama Prospetə !!!",17," Парк М. Гусеинзаде
","  ЦСУ
","  Парк Измир
","  Парк Севиль Газиевой
"," м. Низами
"," Ясамальский р.
",,,,
