id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
2236320,2021-07-20,Köhnə tikili,4 / 5,53 m²,2,var,68 000AZN,vasitəçi (agent),TƏCİLİ  SATILIR!!! Memar Əcəmi m 5dəq piyada məsafədə 4mkr dairəsi yaxınlığında qanuni 2 otaq yaxşı təmirli 5 mərtəbəli binanın 4cü mərtəbəsində orta blok skvaznoy mənzil BÜTÜN ƏŞYALARI İLƏ BİRLİKDƏ SATILIR!!! Qiymət: 68000 azn Ofisin xidmət haqqısı: 1% təşkil edir.,19,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
","","","","","","","",
2236318,2021-07-20,Yeni tikili,7 / 19,81 m²,3,var,107 400AZN,vasitəçi (agent),"Kupcali+qazli binada.Y/Yasamalda bizim markete yaxin 19 mertebeli binanin 7-ci mertebesinde 78 kvm 2 otaqdan 3 otaga duzeldilmis ela temirli menzil satilir.Menzilin suyu,isigi,qazi 24 saat fasilesiz verilir.Menzil yerlesen bina orta mektebe,usaq baxcasina,dayanacaga,ticaret merkezlerine cox yaxin mesafededir.Binanin yeralti avtoparki 24 saat muhafizesi var.",664,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
","","","","","","","",
2193545,2021-07-20,Yeni tikili,10 / 16,132 m²,3,var,175 000AZN,mülkiyyətçi,Təbriz Küçesi Şuşa Restoranı İlə Üzbəüz Çarbağ MMC Ye Mexsus  Pilot layihəli Elit Binada 132 M2 3 Otaqlı Temirsiz Mənzil Satilir.  Sayğaclar Quraşdırılıb. Binanın Geniş Jəyəti Və 24  Saat Mühafizə Xidməti  Mövcuddur.  Binada 80 % Yaşayış  Var. 28 May Metrosuna Və Gənclik Metrosuna 5 Deq Lik Mesafededir. Kupçalar Həyətdə Çarbağ MMC Yə Məxsus  Yeni Bina Təhvil  Verildikdən Sonra Veriləcək.,10,"Azərbaycan turizm institutu 
"," Təhsil Nazirliyi 
"," Nərimanov r.
","","","","","","","",
2236315,2021-07-20,Yeni tikili,5 / 16,120 m²,3,var,190 000AZN,vasitəçi (agent),"8-ci mkr-da, Oazisin yanında, Azadlıq metrosuna yaxın, 120 kv, 3 otaqlı, təmirli mənzil satılır. Mənzil yelçəkəndir. Mənzildə 2 sanitar qovşağı var.QAZ və KUPÇA var. İPOTEKAYA yararlıdır. Binanın geniş həyətyanı sahəsi, yeraltı dayanacağı var. Yaxınlıqda məktəb, market, usaq baxçasi, gözəllik salonu, fitness mərkəzi, idman kompleksi, restoran ve kafelər yerlesir!
Qiymət: 190 min",36,"Binəqədi r.
","","","","","","","","","",
2236310,2021-07-20,Yeni tikili,6 / 12,110 m²,3,var,200 000AZN,vasitəçi (agent),"•	ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ ! РЕКОМЕНДУЕМЫЕ ПОЛНОСТЬЮ ЗАСЕЛЕННОЕ ЗДАНИЕ С КУПЧЕЙ ! 

•	По ул. Н. Юсифбейли, около д/т КРАЛ , в заселенной новостройке продается 3-х  комнатная квартира. Этаж 12/6-й этаж. Общая площадь 110 кв.м. Отличный ремонт. Встроенная кухонная мебель. Имеется ГАЗ и КУПЧАЯ. Круглосуточно охраняемый двор , бесшумные, скоростные лифты. Развитая инфраструктура (в шаговой доступности маркеты, школа, автобусная остановка). 

•	N. Yusifbəyli küçəsində ,  KRAL şadlıq sarayı yaxınlığında, tam yaşayışlı yeni tikili binada 3 otaqlı mənzil satılır.12/6-ci mərtəbəsi, ümumi sahəsi 110 kv.m.  Əla təmir edilib, quraşdırılmış mətbəx mebeli. QAZ və ÇIXARIŞ (KUPÇA) var. 24 saat mühafizəli həyəti,2 səssiz sürrətli liftlər yaxşı inkişaf etmiş infrastruktura – yaxınlıqda supermarket, orta məktəb, avtobus dayanacağı. 
",263,"TQDK 
"," Gənclik m.
"," Nəsimi r.
","","","","","","","",
2188724,2021-07-20,Yeni tikili,3 / 16,113 m²,3,var,115 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR!! 

KUPÇALI!!

 RADNOY 3 OTAQ!!

 Yaxsi temirli 3 otaqli menzil. Binanin yeralti dayanacagi, genis heyeti, 24 saat muhafizesi, her gun temizlik xidmeti, usaq oyun ve futbol meydancasi var. Yaxinliqda bakixanov stansiyasi(qatar), hospital, mekteb var. Ciddi maraqlanan şəxslər əlaqə saxlaya bilər Ofisin xidmət haqqı 1 %",79,"Sabunçu r.
"," Bakıxanov q.
","","","","","","","","",
2236306,2021-07-20,Yeni tikili,15 / 17,51 m²,3,var,105 000AZN,mülkiyyətçi,"Xatai metrosunun yaxinliginda 17 mertebeli 3 LIFTLI binanin 15 ci mertebesinde orta temirli,2 otagdan 3 otaga düzəlmə menzil satilir. Ümumi sahəsi 65 kvm. İstiliy sistemi mərkəzidir qişda ayi 12 man məbləg edir .Geniş pulsuz avto dayanacagi və yaşil həyəti vardir. Giriş binanin blokuna iki tərəflidir. Padezdə əlavə seyf gapili kladovkasi su cəni mövcutdur. 100 metrə arali bazarstor əyləncə mərkəzi yerləşir . İnfrastruktur cəhətdən əlverişli yerdədir. İşig su daimidir. Yaninda H.Eliyev adina lisey yerleshir. Elave melumat ucun zeng vura bilersiniz.",13,"Şah İsmayıl Xətai m.
"," Xətai r.
","","","","","","","","",
2236304,2021-07-20,Köhnə tikili,10 / 12,95 m²,3,var,185 000AZN,vasitəçi (agent),"Tecili satilir...
Deyerinden asagi super temirli menzil....
Menzil 2 otagdan 3 otaga duzelmishdir.elave melumat ucun elaqe saxlaya bilersiniz.
Ofisin xidmet haqqi 1% teskil edir.",41,"Nəsimi bazarı 
"," Nəsimi r.
","","","","","","","","",
2236303,2021-07-20,Yeni tikili,3 / 17,74.4 m²,3,var,101 500AZN,vasitəçi (agent),Yeni Yasamalda Bazar Storun yaninda Arabaci MTK terefinden insa edilmis yeni tikili 17 mertebeli binanin 3-cu mertebesinde 2-den 3-e duzelme temirli 3 otaqli menzil satilir qaz su isiq daimidir istilik sistemi kombi iledir binanin etrafinda her bir infrastruktur movcuddur bir nece mekteb bagcalar coxlu sayda mini ve super marketler bir nece boyuk geyim magazasi ve s.binanin qarsisindan bir nece avtobus marsrutu kecir metroya ayaqla 10 deqiqelik mesafe senedler cixaris (kupca) iledir IPATEKAYA yarayir real musteriye endirim olacaq ofis haqqi 1%,28,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
","","","","","","","",
2236302,2021-07-20,Yeni tikili,14 / 17,57 m²,2,yoxdur,80 000AZN,vasitəçi (agent),"Yasamal ray,Yeni Yasamal qes,Albali ushaq baxcasinin yaninda 17mertebeli yeni tikilinin 14-cu mertebesinde 1otaqdan 2otaga duzelme yeni temirden cixmish menzil satilir.Binada su,ishiq,qaz daimidir.Menzilde hol ve sanuzer isti poldur.Yer parketdir.Elave melumat ucun buyurub elaqe saxlaya bilersiniz.",119,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
","","","","","","","",
2098834,2021-07-20,Yeni tikili,5 / 20,99.4 m²,3,var,120 000AZN,mülkiyyətçi,"Yeni tikilidə 3 otaqlı mənzil satıram!

XATAI PARK yeni müasir yaşayış kompleksində!

Geniş, 99,43 kv m.

Mənzil 5 mərtəbəsində (5 mərtəbə, 20 mərtəbəli ev) yerləşir.

Əlverişli layout, otaqlar dəhlizin sağ və sol tərəfində yerləşir (şəkil əlavə olunur).

Mərkəzi mağazalar, poliklinikalar, təhsil müəssisələri, inzibati binalar, ictimai nəqliyyat dayanacaqları yaxın məsafədə yerləşir.

ПРОДАЮ 3-х комн. КВАРТИРУ в новостройке!

В новом современном жилом комплексе XATAI PARK!

Просторная, 99,43 кв. м.

Квартира находится на 5 этаже (5 этаж, 20 этажного дома).

Выгодная планировка, комнаты расположены справа и слева от коридора (фото прилагается).

В шаговой доступности центральные магазины, поликлиники, учебные заведения, административные здания, остановки общественного транспорта.",385,"Xətai r.
"," Həzi Aslanov q.
","","","","","","","","",
